id_str,hs_beto
1746800892752306391,"[{'label': 'LABEL_0', 'score': 0.9997252821922302}]"
1746763855638761746,"[{'label': 'LABEL_0', 'score': 0.9996894598007202}]"
1746736922452451715,"[{'label': 'LABEL_0', 'score': 0.9999233484268188}]"
1746730759300284697,"[{'label': 'LABEL_0', 'score': 0.9997745156288147}]"
1746721224825176352,"[{'label': 'LABEL_0', 'score': 0.9917893409729004}]"
1746715238177689916,"[{'label': 'LABEL_0', 'score': 0.9996019005775452}]"
1746712909483282944,"[{'label': 'LABEL_0', 'score': 0.9897708892822266}]"
1746711825834479896,"[{'label': 'LABEL_0', 'score': 0.8468602299690247}]"
1746711597827920369,"[{'label': 'LABEL_0', 'score': 0.9998207688331604}]"
1746698270766674195,"[{'label': 'LABEL_0', 'score': 0.9998610019683838}]"
1746696767133913466,"[{'label': 'LABEL_0', 'score': 0.9997764229774475}]"
1746689759269843203,"[{'label': 'LABEL_0', 'score': 0.9999128580093384}]"
1746686645208813962,"[{'label': 'LABEL_0', 'score': 0.9993494153022766}]"
1746683558456971451,"[{'label': 'LABEL_0', 'score': 0.9998607635498047}]"
1746676564274581995,"[{'label': 'LABEL_0', 'score': 0.9996631145477295}]"
1746674809394680079,"[{'label': 'LABEL_0', 'score': 0.9998804330825806}]"
1746669916139192329,"[{'label': 'LABEL_0', 'score': 0.9998458623886108}]"
1746667776591171948,"[{'label': 'LABEL_0', 'score': 0.9997438788414001}]"
1746663159409086506,"[{'label': 'LABEL_1', 'score': 0.999492883682251}]"
1746661107551363299,"[{'label': 'LABEL_0', 'score': 0.9998934268951416}]"
1746660960947916826,"[{'label': 'LABEL_0', 'score': 0.9998602867126465}]"
1746657412818350302,"[{'label': 'LABEL_0', 'score': 0.999338686466217}]"
1746650267590770819,"[{'label': 'LABEL_0', 'score': 0.9998123049736023}]"
1746649005306655083,"[{'label': 'LABEL_0', 'score': 0.9998942613601685}]"
1746638340634370454,"[{'label': 'LABEL_1', 'score': 0.9995108842849731}]"
1746635009903985149,"[{'label': 'LABEL_0', 'score': 0.9998018145561218}]"
1746623122994823559,"[{'label': 'LABEL_0', 'score': 0.9998866319656372}]"
1746611446471893463,"[{'label': 'LABEL_1', 'score': 0.9531721472740173}]"
1746605431038873880,"[{'label': 'LABEL_0', 'score': 0.8070722222328186}]"
1746603183764275632,"[{'label': 'LABEL_1', 'score': 0.9970548152923584}]"
1746599710540841214,"[{'label': 'LABEL_0', 'score': 0.9963318705558777}]"
1746584272608137663,"[{'label': 'LABEL_0', 'score': 0.9708295464515686}]"
1746560893205225785,"[{'label': 'LABEL_0', 'score': 0.9998894929885864}]"
1746532017456423038,"[{'label': 'LABEL_0', 'score': 0.9998339414596558}]"
1746526537027830176,"[{'label': 'LABEL_0', 'score': 0.999748170375824}]"
1746499255265628595,"[{'label': 'LABEL_0', 'score': 0.999845027923584}]"
1746447144272191492,"[{'label': 'LABEL_0', 'score': 0.9998348951339722}]"
1746445105148342539,"[{'label': 'LABEL_0', 'score': 0.9999393224716187}]"
1746433626634346647,"[{'label': 'LABEL_0', 'score': 0.9583701491355896}]"
1746433322685718863,"[{'label': 'LABEL_1', 'score': 0.9983945488929749}]"
1746412153446224254,"[{'label': 'LABEL_0', 'score': 0.9978410005569458}]"
1746386461446861127,"[{'label': 'LABEL_0', 'score': 0.9560822248458862}]"
1746384950725591328,"[{'label': 'LABEL_0', 'score': 0.9997598528862}]"
1746373439810597010,"[{'label': 'LABEL_0', 'score': 0.7294816374778748}]"
1746369707727303066,"[{'label': 'LABEL_0', 'score': 0.9176839590072632}]"
1746366780501610616,"[{'label': 'LABEL_0', 'score': 0.9998776912689209}]"
1746363867431665670,"[{'label': 'LABEL_0', 'score': 0.9988740086555481}]"
1746344769532391741,"[{'label': 'LABEL_1', 'score': 0.9997357726097107}]"
1746344353285488867,"[{'label': 'LABEL_1', 'score': 0.999717652797699}]"
1746340329463128486,"[{'label': 'LABEL_0', 'score': 0.9996771812438965}]"
1746323447402148304,"[{'label': 'LABEL_0', 'score': 0.9973903298377991}]"
1746306905507565992,"[{'label': 'LABEL_0', 'score': 0.9706658720970154}]"
1746302791612514464,"[{'label': 'LABEL_0', 'score': 0.9999244213104248}]"
1746300515401535963,"[{'label': 'LABEL_0', 'score': 0.9234994053840637}]"
1746294694353469712,"[{'label': 'LABEL_1', 'score': 0.9509317278862}]"
1746279702103265442,"[{'label': 'LABEL_0', 'score': 0.9998862743377686}]"
1746273594470994418,"[{'label': 'LABEL_0', 'score': 0.9994032382965088}]"
1746271991290560942,"[{'label': 'LABEL_0', 'score': 0.9999442100524902}]"
1746270411875094911,"[{'label': 'LABEL_0', 'score': 0.9998593330383301}]"
1746259206980702321,"[{'label': 'LABEL_0', 'score': 0.9987179040908813}]"
1746258547464126669,"[{'label': 'LABEL_0', 'score': 0.9999475479125977}]"
1746257890212491430,"[{'label': 'LABEL_0', 'score': 0.9998131394386292}]"
1746256390476136867,"[{'label': 'LABEL_0', 'score': 0.9998743534088135}]"
1746255193912553648,"[{'label': 'LABEL_0', 'score': 0.9998821020126343}]"
1746231445339730394,"[{'label': 'LABEL_0', 'score': 0.9999325275421143}]"
1746223315138531540,"[{'label': 'LABEL_0', 'score': 0.9997654557228088}]"
1746222671950487855,"[{'label': 'LABEL_0', 'score': 0.919605553150177}]"
1746221852052090949,"[{'label': 'LABEL_0', 'score': 0.9998689889907837}]"
1746166943025861080,"[{'label': 'LABEL_0', 'score': 0.9994621872901917}]"
1746220633711690056,"[{'label': 'LABEL_0', 'score': 0.9996927976608276}]"
1746208173478854704,"[{'label': 'LABEL_0', 'score': 0.9999325275421143}]"
1746197987670294623,"[{'label': 'LABEL_0', 'score': 0.9998798370361328}]"
1746195662331425272,"[{'label': 'LABEL_0', 'score': 0.9999245405197144}]"
1746191972765687959,"[{'label': 'LABEL_0', 'score': 0.9998506307601929}]"
1746179090992816367,"[{'label': 'LABEL_0', 'score': 0.9997244477272034}]"
1746170064049475785,"[{'label': 'LABEL_1', 'score': 0.999505877494812}]"
1746169497147388282,"[{'label': 'LABEL_0', 'score': 0.9994321465492249}]"
1746164523122172040,"[{'label': 'LABEL_1', 'score': 0.999459445476532}]"
1746159895802515469,"[{'label': 'LABEL_0', 'score': 0.9997342228889465}]"
1746078808849981913,"[{'label': 'LABEL_1', 'score': 0.9941949248313904}]"
1746046973654806836,"[{'label': 'LABEL_0', 'score': 0.9998612403869629}]"
1746046657429475420,"[{'label': 'LABEL_0', 'score': 0.9998922348022461}]"
1746044633916776729,"[{'label': 'LABEL_0', 'score': 0.9999386072158813}]"
1746028026293268636,"[{'label': 'LABEL_0', 'score': 0.9999134540557861}]"
1746017441900012002,"[{'label': 'LABEL_0', 'score': 0.9999265670776367}]"
1746001616275181615,"[{'label': 'LABEL_0', 'score': 0.9999433755874634}]"
1745989851848008038,"[{'label': 'LABEL_0', 'score': 0.9676380157470703}]"
1745976155407077736,"[{'label': 'LABEL_0', 'score': 0.9999328851699829}]"
1745975466958164108,"[{'label': 'LABEL_0', 'score': 0.8155993223190308}]"
1745968078775632367,"[{'label': 'LABEL_0', 'score': 0.9998152852058411}]"
1745956841648267539,"[{'label': 'LABEL_0', 'score': 0.9976007342338562}]"
1745941630224404573,"[{'label': 'LABEL_0', 'score': 0.9986761212348938}]"
1745940532667236749,"[{'label': 'LABEL_0', 'score': 0.9997640252113342}]"
1745939757564100902,"[{'label': 'LABEL_1', 'score': 0.9990880489349365}]"
1745935572646916264,"[{'label': 'LABEL_1', 'score': 0.9992824196815491}]"
1745921449670455803,"[{'label': 'LABEL_1', 'score': 0.9996984004974365}]"
1745904891585859786,"[{'label': 'LABEL_0', 'score': 0.9949327111244202}]"
1745903506991530099,"[{'label': 'LABEL_0', 'score': 0.9965018033981323}]"
1745903320420536743,"[{'label': 'LABEL_1', 'score': 0.9955737590789795}]"
1745896764530385242,"[{'label': 'LABEL_0', 'score': 0.9997979998588562}]"
1745890750292807942,"[{'label': 'LABEL_0', 'score': 0.9972631931304932}]"
1745885800724639918,"[{'label': 'LABEL_1', 'score': 0.9997072815895081}]"
1745878859910611042,"[{'label': 'LABEL_0', 'score': 0.9999436140060425}]"
1745871880421056954,"[{'label': 'LABEL_0', 'score': 0.998443067073822}]"
1745869241503678697,"[{'label': 'LABEL_0', 'score': 0.9961447715759277}]"
1745863073368285577,"[{'label': 'LABEL_1', 'score': 0.7384757399559021}]"
1745857524501287323,"[{'label': 'LABEL_0', 'score': 0.9999281167984009}]"
1745845341759353228,"[{'label': 'LABEL_0', 'score': 0.9999088048934937}]"
1745842732277330035,"[{'label': 'LABEL_0', 'score': 0.9995656609535217}]"
1745835136397009201,"[{'label': 'LABEL_0', 'score': 0.99973064661026}]"
1745830994962178274,"[{'label': 'LABEL_0', 'score': 0.9999098777770996}]"
1745820300590067878,"[{'label': 'LABEL_1', 'score': 0.9993834495544434}]"
1745815956675309756,"[{'label': 'LABEL_0', 'score': 0.999911904335022}]"
1745814667325268238,"[{'label': 'LABEL_0', 'score': 0.9998899698257446}]"
1745814389238673807,"[{'label': 'LABEL_0', 'score': 0.99986732006073}]"
1745813910169563236,"[{'label': 'LABEL_0', 'score': 0.999894380569458}]"
1745806312313680259,"[{'label': 'LABEL_1', 'score': 0.99397873878479}]"
1745804812090781916,"[{'label': 'LABEL_1', 'score': 0.999388575553894}]"
1745803269933244453,"[{'label': 'LABEL_0', 'score': 0.9997456669807434}]"
1745801642048458838,"[{'label': 'LABEL_0', 'score': 0.9927969574928284}]"
1745779562452079023,"[{'label': 'LABEL_0', 'score': 0.9888005256652832}]"
1745598152298881212,"[{'label': 'LABEL_0', 'score': 0.9999372959136963}]"
1745672396332294559,"[{'label': 'LABEL_0', 'score': 0.9998679161071777}]"
1745668884672270455,"[{'label': 'LABEL_0', 'score': 0.9999300241470337}]"
1745654537912758442,"[{'label': 'LABEL_0', 'score': 0.999879002571106}]"
1745650767178949008,"[{'label': 'LABEL_0', 'score': 0.9900259971618652}]"
1745607835134611598,"[{'label': 'LABEL_0', 'score': 0.9997032284736633}]"
1745595609535385798,"[{'label': 'LABEL_0', 'score': 0.9996978044509888}]"
1745588045045248071,"[{'label': 'LABEL_1', 'score': 0.9447535872459412}]"
1745587369485742208,"[{'label': 'LABEL_0', 'score': 0.9971898198127747}]"
1745585277375074645,"[{'label': 'LABEL_0', 'score': 0.9998370409011841}]"
1745577312865644941,"[{'label': 'LABEL_1', 'score': 0.9995773434638977}]"
1745574783394185285,"[{'label': 'LABEL_1', 'score': 0.9995102882385254}]"
1745509551070171167,"[{'label': 'LABEL_0', 'score': 0.9997987151145935}]"
1745556502868283685,"[{'label': 'LABEL_0', 'score': 0.9999083280563354}]"
1745556328125219045,"[{'label': 'LABEL_0', 'score': 0.9997500777244568}]"
1745550946631852403,"[{'label': 'LABEL_0', 'score': 0.9998854398727417}]"
1745550040783855831,"[{'label': 'LABEL_0', 'score': 0.999606192111969}]"
1745524062997058042,"[{'label': 'LABEL_0', 'score': 0.9999245405197144}]"
1745523540571419032,"[{'label': 'LABEL_0', 'score': 0.9998465776443481}]"
1745520638792474869,"[{'label': 'LABEL_0', 'score': 0.9999140501022339}]"
1745510318820688097,"[{'label': 'LABEL_0', 'score': 0.9997721314430237}]"
1745502390722158936,"[{'label': 'LABEL_0', 'score': 0.9996744394302368}]"
1745492006099354049,"[{'label': 'LABEL_0', 'score': 0.9998652935028076}]"
1745488755589259410,"[{'label': 'LABEL_0', 'score': 0.9996569156646729}]"
1745480809488826812,"[{'label': 'LABEL_0', 'score': 0.9997684359550476}]"
1745471881031934133,"[{'label': 'LABEL_1', 'score': 0.9993830919265747}]"
1745461093001282002,"[{'label': 'LABEL_0', 'score': 0.9999207258224487}]"
1745436954831749604,"[{'label': 'LABEL_0', 'score': 0.999890923500061}]"
1745412016779448410,"[{'label': 'LABEL_0', 'score': 0.9998488426208496}]"
1745406511105343686,"[{'label': 'LABEL_0', 'score': 0.9610791206359863}]"
1745391044827419100,"[{'label': 'LABEL_0', 'score': 0.9857385158538818}]"
1745363695176143103,"[{'label': 'LABEL_1', 'score': 0.9994361996650696}]"
1745344974231638204,"[{'label': 'LABEL_0', 'score': 0.9998537302017212}]"
1745330116891181240,"[{'label': 'LABEL_0', 'score': 0.9997993111610413}]"
1745322918815338640,"[{'label': 'LABEL_1', 'score': 0.9992677569389343}]"
1745309733693607954,"[{'label': 'LABEL_0', 'score': 0.9995465874671936}]"
1745302942628893181,"[{'label': 'LABEL_1', 'score': 0.9988982677459717}]"
1745302531029323852,"[{'label': 'LABEL_0', 'score': 0.9068014621734619}]"
1745284040888881422,"[{'label': 'LABEL_1', 'score': 0.9990622401237488}]"
1745281262007230587,"[{'label': 'LABEL_1', 'score': 0.9968653321266174}]"
1745266381933723697,"[{'label': 'LABEL_0', 'score': 0.9995850920677185}]"
1745254399931290008,"[{'label': 'LABEL_0', 'score': 0.9998558759689331}]"
1745254027409981445,"[{'label': 'LABEL_1', 'score': 0.9994661211967468}]"
1745244330564997170,"[{'label': 'LABEL_1', 'score': 0.997674286365509}]"
1745241298523558164,"[{'label': 'LABEL_1', 'score': 0.999110996723175}]"
1745237506398765314,"[{'label': 'LABEL_0', 'score': 0.9998244643211365}]"
1745220753895600409,"[{'label': 'LABEL_0', 'score': 0.9999037981033325}]"
1745210199693021584,"[{'label': 'LABEL_1', 'score': 0.9996976852416992}]"
1745097990400799123,"[{'label': 'LABEL_1', 'score': 0.9997931122779846}]"
1745200561169813641,"[{'label': 'LABEL_0', 'score': 0.9999366998672485}]"
1745195551841243425,"[{'label': 'LABEL_0', 'score': 0.9998229146003723}]"
1745194497380683937,"[{'label': 'LABEL_1', 'score': 0.9994552731513977}]"
1745192634279235615,"[{'label': 'LABEL_0', 'score': 0.9998830556869507}]"
1745191707421901215,"[{'label': 'LABEL_1', 'score': 0.9993007183074951}]"
1745175137203212591,"[{'label': 'LABEL_0', 'score': 0.99916672706604}]"
1745169734935384237,"[{'label': 'LABEL_1', 'score': 0.9994311928749084}]"
1745163429994734018,"[{'label': 'LABEL_1', 'score': 0.999245285987854}]"
1745161362114810215,"[{'label': 'LABEL_0', 'score': 0.9995823502540588}]"
1745161191263965563,"[{'label': 'LABEL_0', 'score': 0.9999107122421265}]"
1745160754137874533,"[{'label': 'LABEL_1', 'score': 0.9997485280036926}]"
1745152964946231571,"[{'label': 'LABEL_0', 'score': 0.9992693066596985}]"
1745143398074380513,"[{'label': 'LABEL_0', 'score': 0.9987742304801941}]"
1745141781979636221,"[{'label': 'LABEL_1', 'score': 0.9979068040847778}]"
1745131808700694720,"[{'label': 'LABEL_0', 'score': 0.9983086585998535}]"
1745119252015714791,"[{'label': 'LABEL_1', 'score': 0.9996547698974609}]"
1745114707499913620,"[{'label': 'LABEL_0', 'score': 0.9998598098754883}]"
1745114298785902705,"[{'label': 'LABEL_0', 'score': 0.8286063075065613}]"
1745110331288891855,"[{'label': 'LABEL_0', 'score': 0.9996211528778076}]"
1745105419431768480,"[{'label': 'LABEL_0', 'score': 0.9146575331687927}]"
1745104102638391423,"[{'label': 'LABEL_0', 'score': 0.9999192953109741}]"
1745097849728032868,"[{'label': 'LABEL_0', 'score': 0.9998966455459595}]"
1745082035100651805,"[{'label': 'LABEL_0', 'score': 0.9998444318771362}]"
1745075376919888243,"[{'label': 'LABEL_0', 'score': 0.9998223185539246}]"
1745071403835990297,"[{'label': 'LABEL_1', 'score': 0.8020775318145752}]"
1745066757948055878,"[{'label': 'LABEL_0', 'score': 0.9998462200164795}]"
1745064718606180548,"[{'label': 'LABEL_0', 'score': 0.9999275207519531}]"
1745058996761829785,"[{'label': 'LABEL_0', 'score': 0.9999456405639648}]"
1745045592580231291,"[{'label': 'LABEL_1', 'score': 0.9994552731513977}]"
1745038172482883822,"[{'label': 'LABEL_0', 'score': 0.9998618364334106}]"
1745037190818623666,"[{'label': 'LABEL_0', 'score': 0.999893069267273}]"
1745035690545389624,"[{'label': 'LABEL_0', 'score': 0.9998692274093628}]"
1745002274026340370,"[{'label': 'LABEL_0', 'score': 0.9998466968536377}]"
1744971258603704787,"[{'label': 'LABEL_0', 'score': 0.9967548251152039}]"
1744916187492884617,"[{'label': 'LABEL_0', 'score': 0.9998502731323242}]"
1744908616979656852,"[{'label': 'LABEL_0', 'score': 0.999790608882904}]"
1744900781495460326,"[{'label': 'LABEL_1', 'score': 0.9997929930686951}]"
1744878787253202947,"[{'label': 'LABEL_0', 'score': 0.9994379878044128}]"
1744850123266375868,"[{'label': 'LABEL_1', 'score': 0.9967327117919922}]"
1744841453128314935,"[{'label': 'LABEL_1', 'score': 0.9996187686920166}]"
1744838683629421004,"[{'label': 'LABEL_0', 'score': 0.9999114274978638}]"
1744838508009718214,"[{'label': 'LABEL_0', 'score': 0.9999204874038696}]"
1744831519917474012,"[{'label': 'LABEL_1', 'score': 0.9966294169425964}]"
1744829823782904119,"[{'label': 'LABEL_0', 'score': 0.9996676445007324}]"
1744812562716188766,"[{'label': 'LABEL_0', 'score': 0.9998606443405151}]"
1744810797035864093,"[{'label': 'LABEL_0', 'score': 0.8646059036254883}]"
1744790296292913622,"[{'label': 'LABEL_0', 'score': 0.9997984766960144}]"
1744789793857224811,"[{'label': 'LABEL_1', 'score': 0.9916314482688904}]"
1744783108509950295,"[{'label': 'LABEL_0', 'score': 0.999666690826416}]"
1744776064633581761,"[{'label': 'LABEL_0', 'score': 0.9997422099113464}]"
1744773450948841515,"[{'label': 'LABEL_0', 'score': 0.9999301433563232}]"
1744772591485661483,"[{'label': 'LABEL_1', 'score': 0.999476969242096}]"
1744772048981782737,"[{'label': 'LABEL_0', 'score': 0.9992844462394714}]"
1744771830408261715,"[{'label': 'LABEL_0', 'score': 0.9988142251968384}]"
1744771589017571748,"[{'label': 'LABEL_0', 'score': 0.9997267127037048}]"
1744770248027365385,"[{'label': 'LABEL_0', 'score': 0.9998962879180908}]"
1744766584965541993,"[{'label': 'LABEL_0', 'score': 0.9138604998588562}]"
1744761794713809004,"[{'label': 'LABEL_1', 'score': 0.9987425208091736}]"
1744758892272193841,"[{'label': 'LABEL_0', 'score': 0.9995957016944885}]"
1744752878512648348,"[{'label': 'LABEL_1', 'score': 0.9993365406990051}]"
1744747678934639088,"[{'label': 'LABEL_0', 'score': 0.9998750686645508}]"
1744742012535111710,"[{'label': 'LABEL_0', 'score': 0.9993531107902527}]"
1744738546215526684,"[{'label': 'LABEL_1', 'score': 0.9976319074630737}]"
1744732514768584849,"[{'label': 'LABEL_1', 'score': 0.9994282126426697}]"
1744729585852535189,"[{'label': 'LABEL_0', 'score': 0.9997753500938416}]"
1744719145826984037,"[{'label': 'LABEL_1', 'score': 0.998702883720398}]"
1744716524844462362,"[{'label': 'LABEL_1', 'score': 0.9947097301483154}]"
1744705424056549417,"[{'label': 'LABEL_0', 'score': 0.9999226331710815}]"
1744699236866797689,"[{'label': 'LABEL_0', 'score': 0.9999396800994873}]"
1744697505898447273,"[{'label': 'LABEL_0', 'score': 0.9987953901290894}]"
1744669730055565560,"[{'label': 'LABEL_0', 'score': 0.9998277425765991}]"
1744668196550938630,"[{'label': 'LABEL_1', 'score': 0.9034276008605957}]"
1744668119430201591,"[{'label': 'LABEL_1', 'score': 0.998030960559845}]"
1744662915859227070,"[{'label': 'LABEL_0', 'score': 0.9997187256813049}]"
1744592866872057996,"[{'label': 'LABEL_1', 'score': 0.9017946124076843}]"
1744589502281085423,"[{'label': 'LABEL_0', 'score': 0.999895453453064}]"
1744583725008949477,"[{'label': 'LABEL_0', 'score': 0.9998792409896851}]"
1744575534091092452,"[{'label': 'LABEL_0', 'score': 0.9997420907020569}]"
1744558343471997059,"[{'label': 'LABEL_1', 'score': 0.8745024800300598}]"
1744573388125798449,"[{'label': 'LABEL_0', 'score': 0.9998501539230347}]"
1744571255959773452,"[{'label': 'LABEL_0', 'score': 0.9998987913131714}]"
1744564579017826759,"[{'label': 'LABEL_1', 'score': 0.9994673132896423}]"
1744559298959528315,"[{'label': 'LABEL_0', 'score': 0.9732738137245178}]"
1744557992450687179,"[{'label': 'LABEL_0', 'score': 0.9999092817306519}]"
1744555498387447811,"[{'label': 'LABEL_0', 'score': 0.9999090433120728}]"
1744552666338865239,"[{'label': 'LABEL_0', 'score': 0.9977465271949768}]"
1744551752114811070,"[{'label': 'LABEL_1', 'score': 0.9992865920066833}]"
1744539575257649394,"[{'label': 'LABEL_1', 'score': 0.9995949864387512}]"
1744535849247678721,"[{'label': 'LABEL_0', 'score': 0.9996720552444458}]"
1744535731156971766,"[{'label': 'LABEL_0', 'score': 0.9999113082885742}]"
1744534422722883973,"[{'label': 'LABEL_1', 'score': 0.9405899047851562}]"
1744529274478969001,"[{'label': 'LABEL_0', 'score': 0.9999102354049683}]"
1744446244355785008,"[{'label': 'LABEL_0', 'score': 0.9940783977508545}]"
1744059736171962531,"[{'label': 'LABEL_0', 'score': 0.9999392032623291}]"
1744051558562648260,"[{'label': 'LABEL_0', 'score': 0.9999327659606934}]"
1743736730123948285,"[{'label': 'LABEL_0', 'score': 0.9917268753051758}]"
1743702912688181344,"[{'label': 'LABEL_0', 'score': 0.9997016787528992}]"
1743497125785133256,"[{'label': 'LABEL_0', 'score': 0.9998432397842407}]"
1743344630316274021,"[{'label': 'LABEL_1', 'score': 0.6463263034820557}]"
1743144049467326574,"[{'label': 'LABEL_0', 'score': 0.999772846698761}]"
1743128355430420607,"[{'label': 'LABEL_0', 'score': 0.9998142123222351}]"
1742584849318212011,"[{'label': 'LABEL_0', 'score': 0.9998613595962524}]"
1749401780989960525,"[{'label': 'LABEL_0', 'score': 0.999907374382019}]"
1749395057361277121,"[{'label': 'LABEL_0', 'score': 0.9996362924575806}]"
1749351400843149361,"[{'label': 'LABEL_0', 'score': 0.9996098875999451}]"
1749286466457362897,"[{'label': 'LABEL_0', 'score': 0.9999469518661499}]"
1749281954132877457,"[{'label': 'LABEL_1', 'score': 0.9993865489959717}]"
1749278940781224153,"[{'label': 'LABEL_1', 'score': 0.9957161545753479}]"
1749275550118482053,"[{'label': 'LABEL_0', 'score': 0.9998600482940674}]"
1749272791197593927,"[{'label': 'LABEL_0', 'score': 0.999230146408081}]"
1749272063733354739,"[{'label': 'LABEL_0', 'score': 0.9999051094055176}]"
1749267492751450253,"[{'label': 'LABEL_0', 'score': 0.9999301433563232}]"
1749265066891894827,"[{'label': 'LABEL_0', 'score': 0.999893307685852}]"
1749262557523681326,"[{'label': 'LABEL_0', 'score': 0.999864935874939}]"
1749253801880465896,"[{'label': 'LABEL_0', 'score': 0.9999336004257202}]"
1749253490923212923,"[{'label': 'LABEL_0', 'score': 0.9999262094497681}]"
1749251803089174882,"[{'label': 'LABEL_1', 'score': 0.8751983642578125}]"
1749192940637872296,"[{'label': 'LABEL_1', 'score': 0.9994571805000305}]"
1749211300821954997,"[{'label': 'LABEL_0', 'score': 0.9998830556869507}]"
1749189513778172179,"[{'label': 'LABEL_0', 'score': 0.9997857213020325}]"
1749159794911453560,"[{'label': 'LABEL_0', 'score': 0.9981054067611694}]"
1749158928842154415,"[{'label': 'LABEL_1', 'score': 0.9997970461845398}]"
1749146431741374806,"[{'label': 'LABEL_0', 'score': 0.9999074935913086}]"
1749146291764871464,"[{'label': 'LABEL_1', 'score': 0.9993095397949219}]"
1749139968847471095,"[{'label': 'LABEL_0', 'score': 0.9979007244110107}]"
1749139235490111862,"[{'label': 'LABEL_1', 'score': 0.9996002316474915}]"
