id_str,sustantivos_robertuito
1746667776591171948,"['gordura', 'coso']"
1746663159409086506,"['rey', 'brazos', 'novia']"
1746661107551363299,"['piel', 'bronceado', 'pelo', 'playa']"
1746660960947916826,"['gordura', 'hinchazón', 'fafafa']"
1746657412818350302,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo', 'edision', 'programa', 'agresion']"
1746650267590770819,"['cara', 'día', 'liposuccion', 'años', 'persona', 'sobrepeso', 'meses', 'gimnasio', 'cirugía']"
1746649005306655083,"['gordura', 'tema', 'comida', 'amigo']"
1746638340634370454,"['señora', 'gas', 'contenedor', 'cuadras']"
1746635009903985149,"['obesas', 'cara', 'lágrimas']"
1746623122994823559,"['ojo', 'directiva', 'hombre', 'años', 'sobrepeso', 'opción', 'años', 'atleta', 'valor', 'reventa', 'paraguayo', 'facultad', 'medicina']"
1746611446471893463,"['chico', 'años', 'nieto', 'quasimodo', 'hijas', 'ser']"
1746605431038873880,"['orto', 'cuenta']"
1746603183764275632,"['rolingas', 'feministas', 'progres']"
1746599710540841214,"['combos', 'mc', 'chica', 'mitad', 'chocotorta', ' ', 'emoji', 'cara', 'emoji', 'k', 'patada', 'gordura']"
1746584272608137663,"['problema', 'moral', 'problema', 'congreso', 'primaria', 'ideología', 'gobierno', 'gobierno']"
1746560893205225785,"['gente', 'cuadratura', 'círculo', 'esqueleto', 'meretriz', 'helado', 'cosas', 'cuadratura', 'círculo', 'chorizo', 'hilo', 'años']"
1746532017456423038,"['flequillo', 'verruga', 'sobrepeso', 'mirada']"
1746526537027830176,"['gente', 'cuadratura', 'círculo', 'esqueleto', 'meretriz', 'helado', 'cosas', 'pelotudeces']"
1746499255265628595,['ministros']
1746447144272191492,"['cuidado', 'abuela', 'retoños']"
1746445105148342539,"['cuello', 'escena', 'crímen']"
1746433626634346647,"['gatas', 'gato', 'cama']"
1746433322685718863,"['cama', 'gatos']"
1746412153446224254,"['sabrina', 'obesidad']"
1746386461446861127,"['moda', 'PATOLOGÍAS', 'obesidad', 'trastornos', 'neurodivergencia', 'actualidad']"
1746384950725591328,"['señor', 'cuadras', 'presidente', 'sicarios', 'papel']"
1746373439810597010,"['cachetada', 'rival', '105', ""'"", 'final']"
1746369707727303066,"['ejemplar', 'época', 'película', 'lado', 'cosas', 'hostigamientos', 'falta']"
1746366780501610616,"['$', 'obesidad', 'enfermedad', 'métodos', 'tratamientos', 'negocio', 'farabute', 'hija', 'detalles', 'vida', 'dialéctica', 'comentarios']"
1746363867431665670,"['programa', 'personas', 'obesidad', 'vivo', 'sorete']"
1746344769532391741,"['alegría', 'ingreso', 'innombrable']"
1746344353285488867,"['dia', 'cara', 'foca']"
1746340329463128486,"['partido', 'cuerpo']"
1746323447402148304,[]
1746306905507565992,[]
1746302791612514464,[]
1746300515401535963,['obesidad']
1746294694353469712,['perra']
1746279702103265442,['sobrepeso']
1746273594470994418,"['políticas', 'obesidad', 'escuelas', 'MDP', 'kioscos', 'colegios', 'chatarra', 'políticas', 'alcoholismo', 'drogadicción']"
1746271991290560942,"['casos', 'cáncer', 'jóvenes', 'nivel', 'razones', 'epidemias', 'obesidad', 'alcohol', 'adicciones', 'hipertensión', 'diabetes', 'incidencia', 'desarrollo', 'tumores']"
1746270411875094911,"['desastre', 'gente', 'piernas', 'pibas', '20', 'años', 'varices', 'arañitas', 'edemas', 'gente', 'salud', 'obesidad', 'edades', 'extractos', 'sociales']"
1746259206980702321,"['piquetes', 'menores', '85%']"
1746258547464126669,"['hermano', 'culpa', 'obesidad', 'años', 'plato', 'ravioles', 'domingo']"
1746257890212491430,"['rato', 'médicos', 'nutricionistas', 'tv', 'OMS', 'obesidad', 'pandemia']"
1746256390476136867,"['moda', 'obesidad', 'años', 'mediocridad']"
1746255193912553648,"['hermano', 'unicos', 'pesos', 'cata', '9009', '\n', 'hashtag', 'granhermano']"
1746231445339730394,['obesidad']
1746223315138531540,"['mitad', 'dia', 'juego', 'salud', 'sobrepeso', 'dia']"
1746222671950487855,"['gordura', 'cerebro']"
1746221852052090949,"['acuerdo', 'falta', 'pautas', 'playas', 'atención', 'cuerpo', 'obesidad', 'corazones', 'emoji']"
1746166943025861080,"['epidemia', 'obesidad', 'lugar', 'minutos']"
1746220633711690056,['ropa']
1746208173478854704,"['allegados', 'neurosis', 'intenciones', 'muerte', 'señora', 'sobrepeso', 'vez', 'problemas', 'muerte', 'bebé', 'casa']"
1746197987670294623,"['obesidad', '\n\n', '\n', '\n', ' ', 'pobreza', 'educación', 'cultura']"
1746195662331425272,"['moralejas', 'paso', 'riesgos', 'vida', 'sobrepeso', 'peli', 'ejemplo', 'descuido']"
1746191972765687959,"['razón', 'amigas', 'compañeras', 'curso', 'paso', 'años', 'tipo', 'sobrepeso']"
1746179090992816367,"['gordura', 'mano', 'descerebrados', 'gordofobia', 'forma', 'altísmo', 'consumo', 'harinas', 'carne']"
1746170064049475785,"['patadas', 'trasero']"
1746169497147388282,"['perros', 'sobrepeso', 'peso']"
1746164523122172040,['orangután']
1746159895802515469,[]
1746078808849981913,[]
1746046973654806836,"['mujer', 'chistes', 'pene', 'hombres', 'amiga', 'cara', 'risa', 'emoji', 'cara', 'revolviéndose', 'risa', 'emoji', 'hombre', 'chistes', 'gordura', 'mujer', 'estrías', 'eso', 'tocas', 'mujer', 'emoji', 'cara', 'cabreada']"
1746046657429475420,"['mujer', 'chistes', 'pene', 'hombres', 'amiga', 'cara', 'risa', 'emoji', 'emoji', 'cara', 'risa', 'emoji', 'hombre', 'chistes', 'gordura', 'mujer', 'estrías', 'eso', 'tocas', 'mujer']"
1746044633916776729,"['hora', 'ganas', 'hamburguesa', 'universo', 'medio', 'campo']"
1746028026293268636,"['sociedad', 'sobrepeso']"
1746017441900012002,[]
1746001616275181615,"['hombres', 'coreanos', 'punto', 'corea', 'remojo', 'estándares', 'kg']"
1745989851848008038,"['hdps', 'panzada', 'estás', 'emoji', 'risa']"
1745976155407077736,"['sobrepeso', 'buzo', 'rookie', 'rockstar']"
1745975466958164108,['sobrepeso']
1745968078775632367,"['kirchnerista', 'discurso', 'suerte', 'mujer', 'sobrepeso', 'riesgo', 'fiscal']"
1745956841648267539,['gordura']
1745941630224404573,"['subespecies', 'obesidad', 'idea', 'cuenta', 'subespecies', 'especie', 'madre']"
1745940532667236749,"['emoji', 'risa', 'emoji', 'emoji', 'risa', 'emoji', 'emoji']"
1745939757564100902,"['años', 'culpa', 'gordura', 'plato', 'ravioles', 'domingo', 'burraaa']"
1745935572646916264,"['animal', 'dueño', 'ministerio', 'deporte', 'secretarias', 'ministerios', 'secretarias', 'DOG']"
1745921449670455803,"['monstruos', 'muerte', 'pibe', 'lado']"
1745904891585859786,"['remeras', 'emoji', 'risa', 'risa', 'emoji']"
1745903506991530099,"['sobrepeso', 'militante']"
1745903320420536743,['sobrepeso']
1745896764530385242,"['orgullo', 'hermana', 'mariposa', 'gordura']"
1745890750292807942,"['calor', 'sobrepeso']"
1745885800724639918,"['cuenta', 'mujer', 'política', 'estado', 'casos', 'ministerio', 'interior', 'burro']"
1745878859910611042,"['gordura', 'cuerpo']"
1745871880421056954,"['diputada', 'mamarracho', 'aseveración', 'ignorancia', 'vez', 'caso', 'mujer', 'militancia', 'privilegios', 'gente', 'harinas']"
1745869241503678697,['copy']
1745863073368285577,"['patitas', 'chancho', 'tiempo', 'discurso', 'realidad', 'obesidad']"
1745857524501287323,"['programa', 'persona', 'obesidad', 'final', 'persona', 'sobrina', 'años', 'hermana', 'mamá', 'hora', 'nena', 'globo']"
1745845341759353228,"['ktm', 'sobrepeso']"
1745842732277330035,"['hambre', 'colesterol', 'nubes']"
1745835136397009201,['sobrepeso']
1745830994962178274,"['gordura', 'mujeres', 'chicas', 'mog4s', 'trigo', 'gh2024', 'cata', 'poggi', 'hermano']"
1745820300590067878,"['obesa', ' ', 'emoji', 'cara', 'bostezo']"
1745815956675309756,"['años', 'sobrepeso', 'dieta']"
1745814667325268238,"['razón', 'obesidad', 'estado', 'kilos', 'resistencia', 'rato', 'día', 'bolas']"
1745814389238673807,"['gordura', 'fuerza', 'pruebas', 'producción', 'pruebas', 'inteligencia', ' ', '1']"
1745813910169563236,"['destreza', 'entrenamiento', 'profe', 'natación', 'crol', 'patadas', 'miles', 'entrenadores']"
1745806312313680259,['combo']
1745804812090781916,"['culo', 'chanta']"
1745803269933244453,"['odio', 'SODIO', 'gordura', 'cama', 'flan', 'pala', 'pico', 'SUR']"
1745801642048458838,[]
1745779562452079023,"['comida', 'fantasía', 'clase', 'persona']"
1745598152298881212,"['emoji', 'ojo', 'emoji', 'comidas', 'día', 'sobrepeso', 'vez', 'semana', 'capacidad', 'análisis']"
1745672396332294559,"['amiga', 'comentario', 'gordura', 'principio']"
1745668884672270455,"['FURIA', 'PRUEBA', 'prueba', 'personas', 'casa', 'gente', 'tema', 'obesidad', 'gente', 'pingo', 'pruebas', 'manera', 'hashtag', 'hermano']"
1745654537912758442,"['estefi', 'diferencia']"
1745650767178949008,[]
1745607835134611598,['MIERDA']
1745595609535385798,"['Dios', 'gordofobia']"
1745588045045248071,"['problemas', 'gordura']"
1745587369485742208,"['tasas', 'asesinatos', 'corrupcion', 'narcotrafico', 'obesidad', 'país', 'proyecto', 'niños', 'grillos']"
1745585277375074645,[]
1745577312865644941,"['progres', 'cultura', 'pendeja', 'referente', 'discriminación']"
1745574783394185285,"['secundario', 'apellido', 'traidores', 'bichos']"
1745509551070171167,"['ojo', 'PELEA', 'bocadillo', 'diálogo', 'emoji', 'zorra', 'problema', 'gordura', 'carmelita', 'hermano']"
1745556502868283685,['gato']
1745556328125219045,['sobrepeso']
1745550946631852403,"['criterio', 'dedos', 'peso', 'poco']"
1745550040783855831,"['gordura', 'flor', 'CATALINA', '9009']"
1745524062997058042,"['comparación', 'forma', 'humano', 'gente', 'peso', 'sobrepeso', 'verdad', 'contra', 'fin', 'mundo']"
1745523540571419032,"['animales', 'sobrepeso', 'naturaleza', 'supervivencia', 'animales', 'ambiente', 'físico', 'peso+']"
1745520638792474869,"['años', 'fecha', 'mano', 'señal', 'victoria']"
1745510318820688097,"['vivora', 'victima', 'cucaracha', 'tema', 'gordura', 'cosas']"
1745502390722158936,[]
1745492006099354049,"['sobrepeso', 'chances', 'fuerza', 'músculos', 'onda', 'mundo', 'cuerpo', 'equilibrio', 'rueda', 'verdad', 'forrada']"
1745488755589259410,"['obesidad', 'embarazo']"
1745480809488826812,"['producción', 'forros', 'tipo', 'pruebas', 'persona', 'obesidad', 'hermano']"
1745471881031934133,['grado']
1745461093001282002,"['profesor', 'ejercicio', 'sobrepeso']"
1745436954831749604,['papo']
1745412016779448410,"['persona', 'sobrepeso', 'provincia']"
1745406511105343686,"['malnutrición', 'gente', 'farinaceos', 'arroz']"
1745391044827419100,[]
1745363695176143103,"['psiquiatra', 'nutricionista', 'delincuente']"
1745344974231638204,"['70%', 'población', 'fuentes', 'videos', 'tops', 'datos']"
1745330116891181240,"['caca', 'ojos', 'mina', 'lugar', 'legislador', 'vida', 'gente', 'nación', 's', 'tiempo', 'laburo']"
1745322918815338640,"['manzana', 'foto', 'chica', 'stream', 'fotos', 'GENTE', 'personas', 'hashtag', 'hermano', 'manzana']"
1745309733693607954,['barcelona']
1745302942628893181,['delincuente']
1745302531029323852,"['seguidores', 'insta', 'mina', 'gordura', 'ojos', 'emoji', ' ', 'emoji', 'ojos', 'emoji', 'emoji', 'ojos', 'emoji', ' ', 'emoji', 'dedos', 'emoji', 'emoji', 'dedos', 'emoji', 'dedos', 'cara', 'ojos', 'emoji', 'cara', 'ojos']"
1745284040888881422,"['chiflados', 'sobrepeso']"
1745281262007230587,"['vergüenza', 'gente', 'hambre', 'sobrepeso']"
1745266381933723697,"['topo', 'topos', 'obesidad']"
1745254399931290008,"['requiem', 'dream', 'cisne', 'ballena', 'pelis', 'director', 'poronga', 'historias', 'ballena', 'profesor', 'padre', 'borde', 'muerte']"
1745254027409981445,"['patria', 'balde', ' ', 'emoji', 'caca', 'ojos']"
1745244330564997170,[]
1745241298523558164,"['bolsa', 'excremento', 'sociedad', 'pelotudeces', 'DIAR', 'DNU', 'hijademilputa', 'pedazo', 'escoria', 'cajeta']"
1745237506398765314,"['patologías', 'señora', 'obesidad', 'mental', 'guita']"
1745220753895600409,['gato']
1745210199693021584,"['mierda', 's', 'sanguche']"
1745097990400799123,"['mamarracho', 'sueldo', 'zaparrastrosa', 'políticas', 'país', 'torta', 'hdp']"
1745200561169813641,"['obesidad', 'patología', 'producto', 'alimentación', 'gestión']"
1745195551841243425,"['tipo', 'cuerpo', 'obesidad', 'hermano', 'gh2024', 'gh2023']"
1745194497380683937,"['playa', 'novia']"
1745192634279235615,"['rutina', 'alimentación', 'mes', 'hábito', 'emoji', 'risa']"
1745191707421901215,"['español', 'nazi', 'nazis']"
1745175137203212591,"['realidad', 'verdad', 'duende', 'sobrepeso', 'hongos', 'caspa', 'sorete', 'pais']"
1745169734935384237,"['grasa', 'tipo']"
1745163429994734018,[]
1745161362114810215,"['emoji', 'emoji', 'hashtag', 'bahía', 'shopping', 'ejemplo', 'amigas', 'silla', 'persona']"
1745161191263965563,"['emoji', ' ', 'OBESIDAD', 'kilos', 'operación', 'obesidad', 'vergüenza', 'padecimiento']"
1745160754137874533,"['sobrada', 'cuello']"
1745152964946231571,"['comentario', 'miedo', 'chabon', 'obesidad']"
1745143398074380513,"['señor', 'ironía']"
1745141781979636221,"['10', 'cinta', 'capitán', 'obesidad', 'vida', 'pelota', 'manera', 'hermano']"
1745131808700694720,['sobrepeso']
1745119252015714791,"['ciudad', 'forma', 'costumbre', 'polis']"
1745114707499913620,"['dolarizacion', 'gobierno', 'turno', 'narcos', 'gordura', 'hinchazón', 'economista', 'opinologo']"
1745114298785902705,"['profugo', 'arterias', 'grasa', 'tupe', 'personas', 'mierda', 'hdp']"
1745110331288891855,"['tema', 'sobrepeso', 'obsesidad', 'problemas', 'salud', 'diabetes', 'cálculos', 'riñones', 'vesícula', 'riesgo', 'paros', 'hecho']"
1745105419431768480,"['hermano', 'obesidad']"
1745104102638391423,"['hadid', 'orto']"
1745097849728032868,"['mujer', 'juego', 'casa', 'cuerpos', 'bronca', 'violencia']"
1745082035100651805,"['apropiación', 'gordura', 'parte', 'hermanas', 'cuentacalorias', 'poronga', 'cuerpos', 'modelo', 'norma', 'kilos']"
1745075376919888243,"['problema', 'obesidad']"
1745071403835990297,"['eses', 'vida', 'emoji', 'risa', 'emoji', ' ', 'emoji', 'risa', 'emoji', ' ', 'emoji', 'cara', 'risa', 'emoji']"
1745066757948055878,"['peso', 'obesidad', 'médico', 'evaluación', 'medio', 'pantalla', 'tema', 'gente', 'enfermedad']"
1745064718606180548,"['emoji', 'teclas', '2', 'emoji', 'equipo', 'bioquímicos', 'nutricionistas', 'cronobiólogos', ' ', 'obesidad', 'infanto-juvenil', 'hábitos', 'emoji', 'botón', 'marca', 'verificación', 'emoji']"
1745058996761829785,"['partido', 'fútbol', 'hora', 'media', 'casa', 'bici', 'transpiración', 'gimnasio', 'hora', 'media', 'obesidad', '2020', 'peso', '2024', 'vida', 'deporte', 'logros']"
1745045592580231291,"['gordura', 'humo', 'mes', 'gobierno', 'años', 'mierd', '#', 'perdon', 'GORDAAA']"
1745038172482883822,"['furia', 'gesto', 'referencia', 'gordura', 'seña', 'acuerdo', 'conversación', 'líder', 'violencia']"
1745037190818623666,"['gesto', 'referencia', 'gordura', 'acuerdo', 'conversación']"
1745035690545389624,"['recepción', 'estrés', 'cosas', 'pulsaciones', 'oxígeno', 'sangre', 'hábitos', 'obesidad', 'ansiedad', 'culpa', 'cuerpo']"
1745002274026340370,"['video', 'parte', 'sobrepeso']"
1744971258603704787,['obesidad']
1744916187492884617,"['vergüenza', 'foto', 'coty', 'sobrepeso']"
1744908616979656852,"['idiotez', 'gordura', 'personajes', 'emoji', 'cara', 'ojos', 'emoji', ' ', 'emoji', 'cara', 'ojos', ' ', 'cara', 'ojos']"
1744900781495460326,['dientes']
1744878787253202947,"['vejez', 'gordura']"
1744850123266375868,"['mierdas', 'obesidad', 'lastima', 'hermano']"
1744841453128314935,"['vez', 'vida', 'chino']"
1744838683629421004,"['obesidad', 'shopping', 'ejemplo', 'amigas', 'silla', 'persona']"
1744838508009718214,[]
1744831519917474012,"['insulto', 'cuerpo']"
1744829823782904119,"['mexicanos', 'comida', 'grasa', 'especias', 'razón', 'país', 'obesidad']"
1744812562716188766,"['mujer', 'sobrepeso', 'agrado', 'semana', 'gym', 'días', 'cositas', 'fotopoto']"
1744810797035864093,['invierno']
1744790296292913622,"['coty', 'filtro', 'obesidad']"
1744789793857224811,[]
1744783108509950295,"['artículo', 'revista', 'principios', '90', 'adolescente']"
1744776064633581761,"['cosa', 'chistes', 'sobrepeso', 'televisión']"
1744773450948841515,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo', 'hermano', 'verdad']"
1744772591485661483,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo', 'edision']"
1744772048981782737,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo', 'programa', 'temporada', 'agresion']"
1744771830408261715,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo', 'programa']"
1744771589017571748,"['pediatra', 'niños', 'adolescentes', 'obesidad', 'grupo']"
1744770248027365385,"['ejemplo', 'pediatra', 'niños', 'obesidad']"
1744766584965541993,"['décadas', 'pene', 'obesidad']"
1744761794713809004,['cajeta']
1744758892272193841,"['secuelas', 'alimentación', 'barrios', 'villas', 'miseria', 'personas', 'vez', 'tiempo']"
1744752878512648348,"['autoestima', 'mujer']"
1744747678934639088,"['balanza', 'personas', 'cosas']"
1744742012535111710,"['nata', 'problema', 'gordura', 'clientas', 'muebles', 'peso', 'kg']"
1744738546215526684,"['chiqui', 'sobrepeso']"
1744732514768584849,['peso']
1744729585852535189,"['gordura', 'generacion']"
1744719145826984037,"['barbijo', 'metal', 'hocico']"
1744716524844462362,"['postura', 'victima', 'casa', 'sobrepeso', 'gente', 'papel', 'casa']"
1744705424056549417,"['kg', 'ex', 'aborto', 'GORDA']"
1744699236866797689,"['persona', 'vez', 'obra', 'sillas', 'guardia', 'montón', 'injusticias', 'bahía']"
1744697505898447273,"['pajeros', 'twit', 'devoxero']"
1744669730055565560,"['RIESGO', 'COVID-19', 'EXPOSICIÓN', '\n', 'lt;de', 'años', 'comorb', 'inmunocomp', 'enf', 'crónicas', 'salud', 'refuerzo', 'm', 'dosis', 'm']"
1744668196550938630,"['dios', 'hijos', 'país', 'mundo', 'videos', 'imbeciles', 'AGUA']"
1744668119430201591,"['gordura', 'señora', 'producto', 'hambre', 'país', 'polenta', 'fideos', 'proteínas', 'salud', 'ser', 'humano']"
1744662915859227070,"['pimienta', 'papas', 'crema', 'día', 'medio', 'cabernet', 'comida', 'obesidad', 'patología', 'dietas', 'harina']"
1744592866872057996,"['comodidad', 'gordura', 'impericia']"
1744589502281085423,['china']
1744583725008949477,[]
1744575534091092452,"['veces', 'hermano', 'gemelo', 'gordura']"
1744558343471997059,"['vez', 'caso', 'niña', 'años', 'anorexia', 'hermana', 'gemela', 'paso', 'edad', 'situaciones']"
1744573388125798449,[]
1744571255959773452,[]
1744564579017826759,"['envidia', 'mujeres', 'año', 'envidia']"
1744559298959528315,"['mierda', 'derecho', 'cata', 'cuestión', 'peso']"
1744557992450687179,"['año', 'obesidad', 'besos']"
1744555498387447811,[]
1744552666338865239,['sobrepeso']
1744551752114811070,['chanchufal']
1744539575257649394,"['medico', 'mierda', 'problema', 'sobrepeso', 'culo', 'simios', 'vida']"
1744535849247678721,['cuestión']
1744535731156971766,[]
1744534422722883973,"['persona', 'cosa', 'país', 'hipopótamos']"
1744529274478969001,['obesidad']
1744446244355785008,"['aire', 'radiación', 'misil', 'fondo', 'mar', 'ovnis', 'hombre', 'humo']"
1744059736171962531,['sobrepeso']
1744051558562648260,"['persona', 'sobrepeso', 'TCA', 'enfermedad', 'metabolismo', 'comentarios', 'mierda', 'pelota']"
1743736730123948285,"['cosa', 'punto']"
1743702912688181344,"['15', 'realidad', 'cosas', 'sobrepeso']"
1743497125785133256,"['delfi', 'mujer', 'hombre', 'obesidad', 'respetos', 'miedo']"
1743344630316274021,"['sobrepeso', 'síntomas', 'nutrición']"
1743144049467326574,"['lucha', 'obesa', 'mano', 'índice', 'indigencia', 'pibes', 'trabajadores', 'luchadores', ' ', 'cara', 'ojos', 'emoji']"
1743128355430420607,"['ig', 'troloa', 'primo', 'trolos', 'problema', 'trolo', 'sobrepeso', 'verdades', 'GENERACION', 'CRISTAL', 'época']"
1742584849318212011,"['venda', 'ojos', 'problema', 'sobrepeso', 'muchachos']"
1749401780989960525,"['Taller', 'alimentación', 'taller', 'tratamiento', 'prevención', 'obesidad', 'hipertensión', 'diabetes', 'colesterolemias', 'días', 'viernes', '15', 'días', '\n\n', 'información', '11', '5511-7372']"
1749395057361277121,"['mohas', 'trola', 'blackpilleros', 'datos', 'estudios', 'porcentaje', 'racemixxean', 'mohas', 'tías', 'sobrepeso']"
1749351400843149361,"['chocolate', 'grasa', 'portugués', 'GORDURA']"
1749286466457362897,"['soledad', 'sobrepeso', 'hijo', 'familia', 'finales', '80', 'dietas', 'terapias', 'conversión', 'dramas', 'nivel', 'silencio', 'rey', 'na']"
1749281954132877457,[]
1749278940781224153,"['gordura', 'hate', 'hermano']"
1749275550118482053,['gordura']
1749272791197593927,"['excusas', 'realidad', 'gordura']"
1749272063733354739,"['gordura', 'agravante', 'defectos', 'facilidad', 'florencia']"
